data number	reference number	common formula of materials	full material name	shape	structure	lattice constant a	lattice constant b	lattice constant c	lattice alpha	lattice beta	lattice gamma	Tc at pcrit or Tc at atmospheric pressure	maximum tc under pressure	applied pressure for tcmax	Critical pressure/GPa at which Tc can be observed	tc measurement method	alpha in Tc=A*M^(-alpha), isotope effect	isotope element	slope at P=0 in Tc vs P plot 	lowest temperature for measurement (not superconducting)	Hc1 at 0 K for poly crystal	Hc2 at 0 K for poly crystal	-slope in Hc2 vs T at Tc for poly crystal	coherence length at 0 K for poly crystal	penetration depth at 0 K for poly crystal	Ginzburg-Landau order parameter	energy gap at 0 K, delta(0)	method of measuring energy gap	coefficient of electronic specific heat	Debye temperature	Curie temperature	Neel temperature	figure1 file name	figure2 filename	figure description	table file name	table description	comment	figure1 data file name	f2 data file name	title	year	keyword	institute	journal	author	sample	comments
num	refno	name	fullname	shape	str	lata	latb	latc	alpha	beta	lgamma	tc	tcmax	pmax	pcrit	tcmeth	isotope	isoel	dtcdp	tcn	hc1zero	hc2zero	dhc2dt	cohere	penet	glpar	gap	gapmeth	gamma	debyet	curiet	neelt	fig1	fig2	figname	tbl	tblname	commt	f1_filename	f2_filename	title	year	keyword	institute	journal	author	sample	comments
650	JPS085014601	[(H3O)Ga(C2O4)3]:PhNO2	beta''-(BEDT-TTF)4[(H3O)Ga(C2O4)3]:PhNO2		BEDT-TTF	10.251	20.05	35.19		92.326		7.5			0															130			OSP650					There exist the kink at 90 K in C(T) and lattice parameters due to charge ordering. Debye-T = 130 K for T < 50 K fittong.	OSP650.dat		High-Temperature Charge and Structure Anomalies in (beta)''-(BEDT-TTF)4[(H3O)Ga(C2O4)3]/C6H5NO2	2016		Department of Condensed Matter Physics, Graduate School of Science, Hokkaido University, Sapporo 060-0810, Japan	J.Phys.Soc.Jpn, 85(2016)014601	Yoshihiko Ihara,Yosuke Futami,Atsushi Kawamoto		
651	JPS085023601	FeCl4	ramda-(BETS)2FeCl4		BETS										0																	8.4	OPH651					H-induced SC. (dC) = C - C(lattice) measured under H//c. Tn obtained from the peak of (dC) for 3 samples for H < 11T	OPH651.dat		Effective Field Study of Canted Antiferromagnetic Insulating Phase in Magnetic Organic Conductor ramda-(BETS)2FeCl4 through Specific Heat Measurement	2016		Department of Physics, Toho University, Funabashi, Chiba 274-8510, Japan	J.Phys.Soc.Jpn, 85(2016)023601	Kazuo Shimada,Naoya Tajima,Koji Kajita,Yutaka Nishio		
652	JPS085043705	GaCl4	ramda-(BETS)2GaCl4		BETS							4.8			0							3.5							20.6									C = a*T + b*T^3 + c*T^5 + Einstein term(E1, E2): b = 18.2 mJ/mol.K4, c = 0.024 mJ/mol.K6, E1 = 30.6 K, E2 = 46.7 K from data fitting.			Thermodynamic Evidence of d-Wave Superconductivity of the Organic Superconductor ramda-(BETS)2GaCl4	2016		Department of Chemistry, Graduate School of Science, Osaka University, Toyonaka, Osaka 560-0043, Japan	J.Phys.Soc.Jpn, 85(2016)043705	Shusaku Imajo,Naoki Kanda,Satoshi Yamashita,Hiroki Akutsu,Yasuhiro Nakazawa,Hiroya Kumagai,Takuya Kobayashi,Atsushi Kawamoto		
655	PRB094020503	CF3SO3	kappa-(BEDT-TTF)2CF3SO3	3	BEDT-TTF							4.7	4.8	1.3	1.1									370									OHC655	OTC655				SC-data at P = 1.45 GPa. Hc2 defined as midpoint. Hc2 depend on current direction	OHC655.dat	OTC655.dat	Pressure-induced superconductivity in the antiferromagnet kappa-(ET)2CF3SO3 with quasi-one-dimensional triangular spin lattice	2016		Department of Applied Physics, Nagoya University, Furo-cho, Chikusa-ku, Nagoya 464-8603, Japan	Phys.Rev.B, 94(2016)020503	Hiroshi Ito,Takayuki Asai,Yasuhiro Shimizu,Hiromi Hayama,Yukihiro Yoshida,Gunzi Saito		
656	PRB094020503	CF3SO3	kappa-(BEDT-TTF)2CF3SO3	3	BEDT-TTF							4.98	4.98	1.9	1.6																		OTC656					Tc for c-axis  pressure (strain)	OTC656.dat		Pressure-induced superconductivity in the antiferromagnet kappa-(ET)2CF3SO3 with quasi-one-dimensional triangular spin lattice	2016		Department of Applied Physics, Nagoya University, Furo-cho, Chikusa-ku, Nagoya 464-8603, Japan	Phys.Rev.B, 94(2016)020503	Hiroshi Ito,Takayuki Asai,Yasuhiro Shimizu,Hiromi Hayama,Yukihiro Yoshida,Gunzi Saito		
660	PRB095165133	(Fe,Ga)Cl4	lambda-(BETS)2Fe0.63Ga0.37Cl4		BETS							5.05																				2.9	OPH660					Fig shows anti-ferro-insulator (AFI), SC, PM phases , measured by T-sweep, R-sweep resistance and torque method. kink- and dip-temperature in R(T) or R(H) in FIG.	OPH660.dat		Internal field effect on vortex states in the layered organic superconductor lambda-(BETS)2Fe1-xGaxCl4 (x = 0.37)	2017		National Institute for Materials Science, Tsukuba, Ibaraki 305-0003, Japan and Graduate School of Pure and Applied Sciences, University of Tsukuba, Tsukuba, Ibaraki 305-8577, Japan	Phys.Rev.B, 95(2017)165133	S. Uji,T. Terashima,T. Konoike,T. Yamaguchi,S. Yasuzuka,A. Kobayashi,B. Zhou		
661	JPS086014706	4-Feb	kappa-(BETS)2FeBr4		BETS							1.5																				2.5	OPH661					Tn, Tc determined by specific heat C(H,T) measurements. metamagnetic transition at 2 T. Pauli limit = 2.9 T. H-direction is important (anisotropy)	OPH661.dat		Anisotropic Field Dependence of the Superconducting Transition in the Magnetic Molecular Superconductor kappa-(BETS)2FeBr4	2017		Department of Chemistry, Graduate School of Science, Osaka University, Toyonaka, Osaka 560-0043, Japan	J.Phys.Soc.Jpn, 86(2017)014706	Shuhei Fukuoka,Satoshi Yamashita,Yasuhiro Nakazawa,Takashi Yamamoto,Hideki Fujiwara		
662	ACS1180368	FeCl4	kappa-(BETS)2FeCl4		BETS	11.693	35.945	8.4914																														not SC down to 2 K. R(2K)/R(300K) = 2E-4. Space-G = Pnma. Dens = 2.497 g/cm3.  For T=10K, a=11.483, b=35.720, c=8.383. Dens = 2.593 g/cm3			New BETS Conductors with Magnetic Anions (BETS ) = bis(ethylenedithio)tetraselenafulvalene)	1996		Institute for Molecular Science, Okazaki 444, Japan	J.Am.Chem.Soc., 118(1996)368	Hayao Kobayashi,Hideto Tomita,Toshio Naito,Akiko Kobayashi,Fumiko Sakai,Tokuko Watanabe,Patrick Cassoux		
663	ACS1180368	FeCl4	ramda-(BETS)2FeCl4		BETS	16.164	18.538	6.5928	98.4	96.67	112.52																						OTMI663					not SC down to 2 K. space-G = P1[-]. FIG shows P-dependence of MI transition. d=2.514 g/cm3. For 10K, a=15.890, b=18.378, c=6.531, alpha=98.61, beta=96.67, gamma= 112.05, d = 52.598 g/cm3	OTMI663.dat		New BETS Conductors with Magnetic Anions (BETS ) = bis(ethylenedithio)tetraselenafulvalene)	1996		Institute for Molecular Science, Okazaki 444, Japan	J.Am.Chem.Soc., 118(1996)368	Hayao Kobayashi,Hideto Tomita,Toshio Naito,Akiko Kobayashi,Fumiko Sakai,Tokuko Watanabe,Patrick Cassoux		
664	ACS1180368	(Fe,Ga)Cl4	ramda-(BETS)2Fe0.48Ga0.52Cl4		BETS							4.6																										Ga-content by EPMA			New BETS Conductors with Magnetic Anions (BETS ) = bis(ethylenedithio)tetraselenafulvalene)	1996		Institute for Molecular Science, Okazaki 444, Japan	J.Am.Chem.Soc., 118(1996)368	Hayao Kobayashi,Hideto Tomita,Toshio Naito,Akiko Kobayashi,Fumiko Sakai,Tokuko Watanabe,Patrick Cassoux		
665	JPS086084704	SbF6	beta-(BDA-TTP)2SbF6		BDA-TTP							7.2										12		133									OHC665	OCOH665				RRR(R300/R10)  > 300. Inter layer distance = 17.6 A. Hc2 defined as R = 0.5Rn. cohere = 133 and 21 A for // and /n/ at 1.5 K. Aniso(Hc2) = 5.8 at 1.5 K.  Inplane (ac-plane) anisotropy also measured.	OHC665.dat	OCOH665.dat	Dimensional Crossover and Its Interplay with In-Plane Anisotropy of Upper Critical Field in beta-(BDA-TTP)2SbF6	2017		Research Center for Condensed Matter Physics, Hiroshima Institute of Technology, Hiroshima 731-5193, Japan	J.Phys.Soc.Jpn, 86(2017)084704	Syuma Yasuzuka,Hiroaki Koga,Yasuhisa Yamamura,Kazuya Saito,Shinya Uji,Taichi Terashima,Hiroki Akutsu,Jun-ichi Yamada		
666	ACS1180368	CoCl4	kappa-(BETS)2CoCl4		BETS																																	Mettalic for T > 2K. Prepared using electrolyte= ([solvent(with 10%ethanol)N]n)CoCl4, solvent=TCE.			New BETS Conductors with Magnetic Anions (BETS ) = bis(ethylenedithio)tetraselenafulvalene)	1996		Institute for Molecular Science, Okazaki 444, Japan	J.Am.Chem.Soc., 118(1996)368	Hayao Kobayashi,Hideto Tomita,Toshio Naito,Akiko Kobayashi,Fumiko Sakai,Tokuko Watanabe,Patrick Cassoux		
667	ACS1180368	MnCl4	(BETS)2MnCl4		BETS																																	M-I transition at about 40 K. Prepared using electrolyte= ([solvent(with 10%ethanol)N]n)MnCl4, solvent=TCE.			New BETS Conductors with Magnetic Anions (BETS ) = bis(ethylenedithio)tetraselenafulvalene)	1996		Institute for Molecular Science, Okazaki 444, Japan	J.Am.Chem.Soc., 118(1996)368	Hayao Kobayashi,Hideto Tomita,Toshio Naito,Akiko Kobayashi,Fumiko Sakai,Tokuko Watanabe,Patrick Cassoux		
668	ACS1180368	MnBr4	(BETS)2MnBr4		BETS																																	M-I transition at about 70 K. Prepared using electrolyte= ([solvent(with 10%ethanol)N]n)MnBr4, solvent=TCE.			New BETS Conductors with Magnetic Anions (BETS ) = bis(ethylenedithio)tetraselenafulvalene)	1996		Institute for Molecular Science, Okazaki 444, Japan	J.Am.Chem.Soc., 118(1996)368	Hayao Kobayashi,Hideto Tomita,Toshio Naito,Akiko Kobayashi,Fumiko Sakai,Tokuko Watanabe,Patrick Cassoux		
669	ACS1180368	NiCl4	(BETS)2NiCl4		BETS																																	M-I transition at about 50 K. Prepared using electrolyte= ([solvent(with 10%ethanol)N]n)NiCl4, solvent=TCE.			New BETS Conductors with Magnetic Anions (BETS ) = bis(ethylenedithio)tetraselenafulvalene)	1996		Institute for Molecular Science, Okazaki 444, Japan	J.Am.Chem.Soc., 118(1996)368	Hayao Kobayashi,Hideto Tomita,Toshio Naito,Akiko Kobayashi,Fumiko Sakai,Tokuko Watanabe,Patrick Cassoux		
670	ACS1180368	CuCl4	(BETS)2CuCl4		BETS																																	Metallic for T > 4 K. Prepared using electrolyte= ([solvent(with 10%ethanol)N]n)CuCl4, solvent=TCE.			New BETS Conductors with Magnetic Anions (BETS ) = bis(ethylenedithio)tetraselenafulvalene)	1996		Institute for Molecular Science, Okazaki 444, Japan	J.Am.Chem.Soc., 118(1996)368	Hayao Kobayashi,Hideto Tomita,Toshio Naito,Akiko Kobayashi,Fumiko Sakai,Tokuko Watanabe,Patrick Cassoux		
671	ACS1180368	CuBr4	(BETS)2CuBr4		BETS																																	M-I transition at about 55 K. Prepared using electrolyte= ([solvent(with 10%ethanol)N]n)CuBr4, solvent=TCE.			New BETS Conductors with Magnetic Anions (BETS ) = bis(ethylenedithio)tetraselenafulvalene)	1996		Institute for Molecular Science, Okazaki 444, Japan	J.Am.Chem.Soc., 118(1996)368	Hayao Kobayashi,Hideto Tomita,Toshio Naito,Akiko Kobayashi,Fumiko Sakai,Tokuko Watanabe,Patrick Cassoux		
675	PRB097024505	Cu(NCS)2	kappa-(BEDT-TTF)2Cu(NCS)2		BEDT-TTF							9.5			0																		OHC675					three phases: I(H<0.6T, R//=0 and R/n=0), II(0.6<H<4 T, R//=0 and R/n>0), III(4T,H,Hc2, R//>0 and R/n>0)	OHC675.dat		Quantum vortex melting and phase diagram in the layered organic superconductor kappa-(BEDT-TTF)2Cu(NCS)2	2018		National Institute for Materials Science, Tsukuba, Ibaraki 305-0003, Japan and Graduate School of Pure and Applied Sciences, University of Tsukuba, Tsukuba, Ibaraki 305-8577, Japan	Phys.Rev.B, 97(2018)024505	S. Uji,Y. Fujii,S. Sugiura,T. Terashima,T. Isono,J. Yamada		
676	PRB097144505	[(H3O)Ga(C2O4)3]:PhNO2	beta''-(BEDT-TTF)4[(H3O)Ga(C2O4)3]:PhNO2		BEDT-TTF	10.2782	19.8733	35.043		93.423		4.8			0							21											OHC676					Ph = C6H5. Hc2/n/ = 2.5 T. Hc2//=8.4*Hc2/n/. FFLO state sudied by measuring resistivity and torque. H<FFLO> = 15 T = 3.1Tc.	OHC676.dat		Fulde-Ferrell-Larkin-Ovchinnikov superconductivity in the layered organic superconductor beta''-(BEDT-TTF)4[(H3O)Ga(C2O4)3]C6H5NO2	2018		National Institute for Materials Science, Tsukuba, Ibaraki 305-0003, Japan and Graduate School of Pure and Applied Sciences, University of Tsukuba, Tsukuba, Ibaraki 305-8577, Japan	Phys.Rev.B, 97(2018)144505	S. Uji,Y. Iida,S. Sugiura,T. Isono,K. Sugii,N. Kikugawa,T. Terashima,S. Yasuzuka,H. Akutsu,Y. Nakazawa,D. Graf,P. Day		
677	PRL116067003	SF5CH2CF2SO3	beta''-(BEDT-TTF)2SF5CH2CF2SO3		BEDT-TTF							5.2			0							14																From ref.16 in PRB097(2018)144505. Hc2/n/ = 1.3 T. Hc2//=11.5*Hc2/n/.  H<FFLO> = 9.5 T = 1.9Tc.			Microscopic Study of the Fulde-Ferrell-Larkin-Ovchinnikov State in an All-Organic Superconductor	2016		Department of Physics and Astronomy, UCLA, Los Angeles, California 90095, USA	Phys.Rev.Lett., 116(2016)067003	G. Koutroulakis,H. Kuhne,J.?A. Schlueter,J. Wosnitza,S.?E. Brown		
678	PRB097224502	EtMe3P	EtMe3P[Pd(dmit)2]2		[Pd(dmit)2							4.36			0								2.7										OHC678					Et=C2H5, Me=CH3. Hc2(T) for H//plane.  For H/n, (dHc2/dT) = (1/6)*2.7 (=value of dHc2/dT for H//plane). anisotropy factor  m</n>/m<//> = 32. sample prepared by aerial oxidation method	OHC678.dat		Dimensionality of superconductivity in the layered organic material EtMe3P[Pd(dmit)2]2 under pressure	2018		Department of Applied Physics, Tokyo University of Science, Tokyo 125-8585, Japan	Phys.Rev.B, 97(2018)224502	R. Yamamoto,Y. Yanagita,T. Namaizawa,S. Komuro,T. Furukawa,T. Itou,R. Kato		
679	JPS085043705	GaCl4	ramda-(BETS)2GaCl4		BETS							4.8			0												4.3		20.6									gap 2d =4.30 kTc from SP. (dC/gamma*Tc) = 1.56. These data added to #652			Thermodynamic Evidence of d-Wave Superconductivity of the Organic Superconductor ramda-(BETS)2GaCl4	2016		Department of Chemistry, Graduate School of Science, Osaka University, Toyonaka, Osaka 560-0043, Japan	J.Phys.Soc.Jpn, 85(2016)043705	Shusaku Imajo,Naoki Kanda,Satoshi Yamashita,Hiroki Akutsu,Yasuhiro Nakazawa,Hiroya Kumagai,Takuya Kobayashi,Atsushi Kawamoto		
680	PRB098115111	ClO4-ReO4	(TMTSF)2(ClO4)1-x(ReO4)x:  x=0.07		TMTSF							0.83			0																							Tc decreases and resistivity (along c* axis) increase with increasing x (ReO4-content)			Influence of carrier lifetime on quantum criticality and superconducting Tc of (TMTSF)2ClO4	2018		Universite Dr Tahar Moulay Saida, B.P. 138 cite ENNASR 20000, Saida, Algeria	Phys.Rev.B, 98(2018)115111	Abdelouahab Sedeki,Pascale Auban-Senzier,Shingo Yonezawa,Claude Bourbonnais,Denis Jerome		
681	PRB098115111	ClO4-ReO4	(TMTSF)2(ClO4)1-x(ReO4)x:  x=0.06		TMTSF							0.77			0																							Tc decreases and resistivity (along c* axis) increase with increasing x (ReO4-content)			Influence of carrier lifetime on quantum criticality and superconducting Tc of (TMTSF)2ClO4	2018		Universite Dr Tahar Moulay Saida, B.P. 138 cite ENNASR 20000, Saida, Algeria	Phys.Rev.B, 98(2018)115111	Abdelouahab Sedeki,Pascale Auban-Senzier,Shingo Yonezawa,Claude Bourbonnais,Denis Jerome		
682	PRB098115111	ClO4-ReO4	(TMTSF)2(ClO4)1-x(ReO4)x:  x=0.1		TMTSF							0.39			0																							Tc decreases and resistivity (along c* axis) increase with increasing x (ReO4-content)			Influence of carrier lifetime on quantum criticality and superconducting Tc of (TMTSF)2ClO4	2018		Universite Dr Tahar Moulay Saida, B.P. 138 cite ENNASR 20000, Saida, Algeria	Phys.Rev.B, 98(2018)115111	Abdelouahab Sedeki,Pascale Auban-Senzier,Shingo Yonezawa,Claude Bourbonnais,Denis Jerome		
683	PRB098115111	ClO4-ReO4	(TMTSF)2(ClO4)1-x(ReO4)x:  x = 0		TMTSF							1.58			0																							Kyoto-sample.  Tc(zero) = 1.19 K			Influence of carrier lifetime on quantum criticality and superconducting Tc of (TMTSF)2ClO4	2018		Universite Dr Tahar Moulay Saida, B.P. 138 cite ENNASR 20000, Saida, Algeria	Phys.Rev.B, 98(2018)115111	Abdelouahab Sedeki,Pascale Auban-Senzier,Shingo Yonezawa,Claude Bourbonnais,Denis Jerome		
684	PRB098115111	ClO4-ReO4	(TMTSF)2(ClO4)1-x(ReO4)x:  x = 0		TMTSF							1.35			0																							Orsay-sample . Tc(zero) = 1.08 K.  resistivity (along c* axis) larger than Kyoto-sample			Influence of carrier lifetime on quantum criticality and superconducting Tc of (TMTSF)2ClO4	2018		Universite Dr Tahar Moulay Saida, B.P. 138 cite ENNASR 20000, Saida, Algeria	Phys.Rev.B, 98(2018)115111	Abdelouahab Sedeki,Pascale Auban-Senzier,Shingo Yonezawa,Claude Bourbonnais,Denis Jerome		
685	PRB0610750	Cu(NCS)2	kappa-(BEDT-TTF)2Cu(NCS)2		BEDT-TTF							10.2			0							30	3										OHC685A	OHC685B				Hc2 defined as R = 1 Ohm(Hc2) and R-cross point (H*). Boss diffinitions give the same (dHc2/dT) value.  Pauli limit discussed in details	OHC685A.dat	OHC685B.dat	Paramagnetic limiting of the upper critical field of the layered organic superconductor kappa -(BEDT-TTF)2Cu(SCN)2	2000		Department of Physics, University of Miami, Coral Gables, Florida 33124	Phys.Rev.B, 61(2000)750	F. Zuo,J. S. Brooks,Ross H. McKenzie,J. A. Schlueter,Jack M. Williams		
686	PRB085174530	FeCl4	ramda-(BETS)2FeCl4		BETS							2.1																					OPH686					H-induced SC. Tc(in DB) shows tricritical point. FFLO state appears in SC  region. Phase diagram shows for H//c.	OPH686.dat		Magnetic torque studies on FFLO phase in magnetic-field-induced organic superconductor lambda-(BETS)2FeCl4	2012		National Institute for Materials Science, Tsukuba, Ibaraki 305-0003, Japan	Phys.Rev.B, 85(2012)174530	S. Uji,K. Kodama,K. Sugii,T. Terashima,Y. Takahide,N. Kurita,S. Tsuchiya,M. Kimata,A. Kobayashi,B. Zhou,H. Kobayashi		
687	JPS087123704	Cu[N(CN)2]Br	kappa-(BEDT-TTF)2Cu[N(CN)2]Br		BEDT-TTF							12			0							7	0.6	70									OHC687-1	OHC687-2				Hc2,dHc2/dT for H/n/plane. cohere//, cohere/n/ = 3 A. out-of-plane resistance (I//b-axis) measured. C<el>/gamma*Tc = 3.3	OHC687-1.dat	OHC687-2.dat	Superconducting Phase Diagram of the Organic Superconductor kappa-(BEDT-TTF)2Cu[N(CN)2]Br above 30T	2018		The Institute for Solid State Physics, the University of Tokyo, Kashiwa, Chiba 277-8581, Japan	J.Phys.Soc.Jpn, 87(2018)123704	Shusaku Imajo,Yasuhiro Nakazawa,Koichi Kindo		
700	PRB100014515	SF5CH2CF2SO3	(beta)''-(BEDT-TTF)2SF5CH2CF2SO3	3	BEDT-TTF							5.2										14											OHC700					Tc = 4.7 - 5.2 K. Hc2//ab = 14 T, Hc2/n/ab = 1.3 T. H<FFLO> = 9.5 - 10 T. T<FFLO>/Tc = 1.9 - 2.1 T/K.	OHC700.dat		Josephson vortex dynamics and Fulde-Ferrell-Larkin-Ovchinnikov superconductivity in the layered organic superconductor beta-(BEDT-TTF)2SF5CH2CF2SO3	2019		National Institute for Materials Science, Tsukuba, Ibaraki 305-0003, Japan	Phys.Rev.B., 100(2019)014515	Shiori Sugiura,Taichi Terashima,Shinya Uji,Syuma Yasuzuka,John A. Schlueter		
1001	PR05703623	NH4Hg(SCN)4	alpha-(BEDT-TTF)2NH4Hg(SCN)4	3	BEDT-TTF							0.95											0.08	500	0.7										specific heat C/T vs T			out-of-plane coherence = 1400 micron. Anysotropy factor=2000. Inter layer spacing=20 A.			Phase diagram of vortices in the quasi-two-dimensional organic superconductor alpha-(BEDT-TTF)2NH4Hg(SCN)4: Asystem of pancake vortices with out-of-plane coupling dominated by the electromagnetic energy	1998		Institute for Molecular Science, Myodaiji, Okazaki 444, Japan	Phys.Rev.B,57(1998)3623	H.Taniguchi,Hiromi Taniguchi,K.Kanoda,Kazushi Kanoda,Y.Nakazawa,Yasuhiro Nakazawa		
1002	JPS0652987	Cu[N(CN)2]Cl	kappa-(BEDT-TTF)2Cu[N(CN)2]Cl	3	BEDT-TTF							12.6	12.6		0.019																		OPH1002		phase diagram			hydrogenated sample. Tc is nealy independent on P. Incomplete superconductivity SC-II  to SC-I at P=19 MPa. SC-1 to SC at P=30 MPa.	OPH1002.dat		Metal-Nonmetal Transition and Superconductivity Localization in the Two-Dimensional Conductor kappa-(BEDT-TTF)2Cu[N(CN)2]Cl under Pressure	1996		Kyoto University, Kyoto,Japan	J.Phys.Soc.Jpn, 65(1996)2987	H.Ito,T.Ishiguro,M.Kubota,G.Saito		
1003	JPS0652987	Cu[N(CN)2]Cl	kappa-(BEDT-TTF)2Cu[N(CN)2]Cl	3	BEDT-TTF							13	13		0.034																		OPH1003		phase diagram			deuterated sample. Tc is nealy independent on P. Incomplete superconductivity SC-II  to SC-I at P=34 MPa. SC-1 to SC at P=44 MPa.	OPH1003.dat		Metal-Nonmetal Transition and Superconductivity Localization in the Two-Dimensional Conductor kappa-(BEDT-TTF)2Cu[N(CN)2]Cl under Pressure	1996		Kyoto University, Kyoto,Japan	J.Phys.Soc.Jpn, 65(1996)2987	H.Ito,T.Ishiguro,M.Kubota,G.Saito		
1004	PR05705610	Cu[N(CN)2]Br	kappa-(BEDT-TTF)2Cu[N(CN)2]Br	3	BEDT-TTF							11.5																							isothermal magnetoresistance			R has a peak at Hc(on). -dHc2/dT=0.7 T/K if the peak field is Hc2.			Effects of inhomogeneity on the interlayer magnetresistance in the organic superconductor k-(BEDT-TTF)2Cu[N(CN)2]Br	1998		Department of Physics, University of Miami, Coral Gables, florida 33124	Phys.Rev.B,57(1998)R5610-R5613	F. Zuo,F.Zuo,J.A. Schlueter,J.A.Schlueter,J.M.Williams,Jack M. Williams,M.E. Kelly,M.E.Kelly,P. Zhang,P.Zhang,X. Su,X.Su		
1005	ANC570146	Cu-BHT	[Cu3(C6S6)]n	5	monoclinic, C2	15.016	8.691	3.489				0.26	3									2500		360					15.1	156.5			001005fig1	001005fig2				The first observation of superconductivity in the coordination polymer. From the superconducting volume fraction of the bulk samples, mono- or few layers is suggested to show Tc of about 3K.	001005fig1.csv	001005fig2.csv	Superconductivity in a Copper(II)-based coordination polymer with perfect Kagome structure	2017	coordination polymer, kagome lattice, quantum criticality, quantum spin liquid, superconductivity	Beijing National Laboratory for Molecular Sciences, Key Laboratory of Organic Solids, Insitute of Chemistry, Chinese Academy of Science, Beijing 100190, China	Angewandte Chemie, International Edition, 57(2018)146	X. Huang,S. Zhang,L. Liu,L. Yu,G. Chen,W. Xu,D. Zhu		
1006	PRR01033184	"beta""-[BEDT-TTF]"	"beta""-[BEDT-TTF]4[(H3O)M(C2O4)3]G"	1	monoclinic, C2							0	7.2																				001006fig1			001006TBL1		From the chemical substitution of guest organic to the beatha-type salts, Tc is influenced by the b-axis length, in which the charge disproportionation is caused by the stronger electron correlation.	001006fig1.csv		"Effects of electron correlations and chemical pressures on superconductivity of beta""-type organic compounds"	2019	"beta""-type, organic superconductor, superconductivity, chemical pressure"	Graduate School of Science, Osaka University, Toyonaka, Osaka 560-0043, Japan	Physical Review Research, 1(2019)033184	S. Imajo,H. Akutsu,A. Akutsu-Sato,A. L. Morritt,L. Martin,Y. Nakazawa		
1007	NAT4640076		K2.9-picene		picene	8.707	5.912	12.97		92.77		7																										K-doped picene. SC-volume fraction = 0.1 %. alkali-metal doping by annealing (440K, 9.0 days).			Superconductivity in alkali-metal-doped picene	2010		Research Laboratory for Surface Science, Okayama University, Okayama 700-8530, Japan	Nature, 464(2010)76	Ryoji Mitsuhashi,Yuta Suzuki,Yusuke Yamanari,Hiroki Mitamura,Takashi Kambe,Naoshi Ikeda,Hideki Okamoto,Akihiko Fujiwara,Minoru Yamaji,Naoko Kawasaki,Yutaka Maniwa,Yoshihiro Kubozono		
1008	NAT4640076		K3.3-picene		picene							18									38																	K-doped picene. SC-volume fraction = 1.2 %. Hc1 at 5 K. alkali-metal doping by annealing (440K, 11 days).			Superconductivity in alkali-metal-doped picene	2010		Research Laboratory for Surface Science, Okayama University, Okayama 700-8530, Japan	Nature, 464(2010)76	Ryoji Mitsuhashi,Yuta Suzuki,Yusuke Yamanari,Hiroki Mitamura,Takashi Kambe,Naoshi Ikeda,Hideki Okamoto,Akihiko Fujiwara,Minoru Yamaji,Naoko Kawasaki,Yutaka Maniwa,Yoshihiro Kubozono		
